="Draft of replication of Regnerus 2012 models"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="Married",="Cohabiting",="Welfare growing up",="Currently on public assistance",="Employed full time",="Unemployed",="Voted",="Thought suicide recently",="Recently or currently in therapy",="Heterosexual 100%",="Current samesex relationship",="Had affair",="Ever STI",="Touched sexually by parent/adult",="Ever forced sex"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Family form (IBF excluded)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="- Lesbian mother",="-0.423",="0.960*",="2.076***",="1.350***",="-0.942**",="1.109*",="-0.223",="0.938*",="1.074**",="-1.899***",="0.702",="1.582***",="1.017**",="1.711***",="1.547***"
="",="(-1.17)",="(2.31)",="(5.72)",="(3.46)",="(-2.61)",="(2.52)",="(-0.70)",="(2.06)",="(2.72)",="(-4.98)",="(0.98)",="(3.38)",="(2.63)",="(3.31)",="(3.94)"

="- Gay dad",="-0.149",="0.830",="1.554*",="0.604",="-0.520",="0.545",="1.334*",="1.632*",="0.984",="-1.048**",="1.052",="0.656",="1.485***",="0.380",="1.014*"
="",="(-0.25)",="(1.27)",="(2.49)",="(1.23)",="(-0.98)",="(0.77)",="(2.39)",="(2.47)",="(1.90)",="(-2.69)",="(1.10)",="(0.86)",="(3.32)",="(0.67)",="(2.29)"

="- Adopted by strangers",="-0.0816",="-0.345",="-0.836",="0.318",="0.341",="0.453",="1.485***",="-0.205",="1.091*",="-0.640",="3.379**",="-0.223",="0.411",="-2.321**",="0.210"
="",="(-0.17)",="(-0.59)",="(-1.58)",="(0.72)",="(0.84)",="(0.73)",="(3.31)",="(-0.30)",="(2.02)",="(-1.15)",="(3.23)",="(-0.29)",="(0.70)",="(-3.13)",="(0.39)"

="- Divorced late",="-0.719*",="1.399***",="1.498***",="1.338***",="-0.557",="0.848",="0.293",="0.324",="0.450",="-0.351",="-0.293",="-0.247",="0.331",="1.265*",="1.199**"
="",="(-2.31)",="(3.58)",="(3.56)",="(3.87)",="(-1.86)",="(1.70)",="(0.90)",="(0.59)",="(1.01)",="(-0.89)",="(-0.28)",="(-0.49)",="(0.68)",="(2.17)",="(2.93)"

="- Step mom/dad",="0.233",="-0.0601",="0.315",="-0.0255",="0.170",="0.165",="0.0792",="0.911*",="0.331",="-0.179",="1.694**",="0.748*",="0.113",="0.131",="-0.00338"
="",="(1.01)",="(-0.23)",="(1.22)",="(-0.11)",="(0.73)",="(0.55)",="(0.35)",="(2.36)",="(1.26)",="(-0.65)",="(2.62)",="(2.56)",="(0.43)",="(0.42)",="(-0.01)"

="- Single Parent",="-0.245",="0.800***",="1.177***",="1.009***",="-0.117",="0.325",="0.0794",="-0.221",="0.510*",="-0.527*",="-0.212",="0.344",="0.622**",="1.086**",="0.690**"
="",="(-1.28)",="(3.43)",="(5.84)",="(4.77)",="(-0.69)",="(1.17)",="(0.44)",="(-0.64)",="(2.06)",="(-2.37)",="(-0.36)",="(1.21)",="(2.64)",="(3.08)",="(2.77)"

="- Other",="-0.260",="0.424",="0.371",="0.631*",="-0.260",="0.351",="-0.207",="0.833",="0.168",="-0.891**",="-0.616",="0.433",="-0.393",="0.532",="0.125"
="",="(-1.01)",="(1.17)",="(1.15)",="(1.98)",="(-1.11)",="(0.95)",="(-0.76)",="(1.86)",="(0.42)",="(-2.97)",="(-0.71)",="(1.31)",="(-1.12)",="(1.22)",="(0.32)"

="White",="0.643***",="0.0106",="-0.243",="0.105",="0.407**",="-0.988***",="0.235",="-0.332",="0.109",="0.0174",="-0.0562",="0.0643",="-0.0857",="-0.489*",="0.00730"
="",="(3.83)",="(0.05)",="(-1.39)",="(0.61)",="(2.73)",="(-4.36)",="(1.55)",="(-1.22)",="(0.52)",="(0.09)",="(-0.12)",="(0.26)",="(-0.49)",="(-2.13)",="(0.03)"

="Age",="0.192***",="-0.0327*",="-0.0481***",="-0.0280*",="0.115***",="-0.0521**",="0.108***",="-0.0206",="-0.000948",="0.0277",="0.0273",="0.0180",="0.0760***",="0.0543**",="0.0507**"
="",="(15.33)",="(-2.41)",="(-3.64)",="(-2.12)",="(9.78)",="(-3.23)",="(9.52)",="(-0.88)",="(-0.06)",="(1.82)",="(0.64)",="(0.89)",="(5.33)",="(2.97)",="(3.28)"

="- Female",="0.115",="0.454*",="0.243",="0.952***",="-1.120***",="0.158",="-0.00421",="0.552*",="0.507*",="-0.857***",="-0.134",="0.0493",="1.435***",="1.527***",="2.039***"
="",="(0.79)",="(2.33)",="(1.36)",="(5.47)",="(-7.82)",="(0.77)",="(-0.03)",="(2.02)",="(2.54)",="(-4.21)",="(-0.26)",="(0.23)",="(6.21)",="(5.08)",="(8.56)"

="Mother education (HS excluded)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="- Mother NoHS",="0.395",="-0.0940",="0.455",="0.489",="-0.383",="-0.612*",="-0.425",="0.206",="0.0847",="-0.131",="-0.431",="-0.486",="-0.336",="0.442",="0.318"
="",="(1.53)",="(-0.32)",="(1.66)",="(1.90)",="(-1.59)",="(-2.00)",="(-1.84)",="(0.52)",="(0.26)",="(-0.44)",="(-0.65)",="(-1.53)",="(-1.09)",="(1.28)",="(1.04)"

="- Mother Some College",="-0.113",="0.206",="-0.263",="-0.0431",="-0.0950",="-0.317",="0.528**",="-0.0139",="-0.217",="0.0984",="-0.704",="-0.0171",="-0.235",="0.0874",="0.304"
