="Draft of replication of Regnerus 2012 models"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="Frequency of marijuana use",="Frequency of alcohol use",="Frequency of drinking to get drunk",="Frequency of smoking",="Frequency of watching TV",="Frequency of having been arrested",="Frequency pled guilty to non-minor offense",="N of female sex partners (among women)",="N of female sex partners (among men)",="N of male sex partners (among women)",="N of male sex partners (among men)"

="main",="",="",="",="",="",="",="",="",="",="",=""
="Family form (IBF excluded)",="",="",="",="",="",="",="",="",="",="",=""

="- Lesbian mother",="0.275*",="0.0234",="0.149",="0.397**",="0.186**",="0.372***",="0.213**",="1.590***",="0.114",="0.419***",="2.451***"
="",="(2.40)",="(0.27)",="(1.38)",="(3.22)",="(2.63)",="(4.58)",="(3.14)",="(5.47)",="(0.56)",="(3.74)",="(3.41)"

="- Gay father",="0.123",="0.0619",="0.255",="0.339",="0.0833",="0.339*",="0.215",="1.171***",="0.475",="0.685***",="1.813**"
="",="(1.01)",="(0.49)",="(1.94)",="(1.79)",="(0.65)",="(2.44)",="(1.74)",="(4.27)",="(1.39)",="(4.00)",="(2.64)"

="- Adopted by strangers",="-0.0423",="0.160",="0.0516",="0.0301",="0.0164",="0.119",="0.0927",="0.602",="-0.00552",="0.230",="0.623"
="",="(-0.31)",="(1.47)",="(0.44)",="(0.19)",="(0.15)",="(1.42)",="(1.42)",="(1.16)",="(-0.02)",="(1.29)",="(0.59)"

="- Divorced late",="0.425**",="-0.0311",="0.147",="0.279",="0.0568",="0.129",="0.156",="1.072**",="0.232",="0.322**",="1.706*"
="",="(3.12)",="(-0.38)",="(1.36)",="(1.90)",="(0.67)",="(1.46)",="(1.72)",="(2.66)",="(1.14)",="(2.68)",="(2.12)"

="- Step parent",="-0.155",="-0.0714",="-0.0403",="0.0814",="0.0692",="0.0219",="0.0170",="-0.0507",="0.129",="0.138",="-0.197"
="",="(-1.83)",="(-1.31)",="(-0.71)",="(0.94)",="(1.35)",="(0.44)",="(0.39)",="(-0.17)",="(1.08)",="(1.95)",="(-0.31)"

="- Single Parent",="0.270***",="0.0570",="0.0839",="0.161*",="0.0384",="0.131***",="0.0693*",="0.752**",="0.196",="0.349***",="0.884"
="",="(4.13)",="(1.41)",="(1.67)",="(2.13)",="(0.88)",="(3.56)",="(2.43)",="(2.79)",="(1.94)",="(4.92)",="(1.72)"

="- Other",="0.122",="-0.00546",="0.0297",="-0.0701",="-0.0430",="0.111*",="0.0302",="0.387",="0.169",="-0.0541",="0.128"
="",="(1.23)",="(-0.09)",="(0.39)",="(-0.70)",="(-0.71)",="(2.12)",="(0.77)",="(1.03)",="(1.19)",="(-0.55)",="(0.22)"

="White",="-0.0615",="0.0371",="0.0107",="0.0920",="-0.0483",="-0.00931",="-0.00474",="-0.178",="0.0612",="0.0462",="-1.331***"
="",="(-1.07)",="(1.06)",="(0.24)",="(1.52)",="(-1.32)",="(-0.32)",="(-0.19)",="(-0.87)",="(0.69)",="(0.83)",="(-3.48)"

="Age",="-0.00992*",="0.00788**",="-0.00823**",="0.00550",="-0.00237",="0.00730***",="0.00648***",="-0.00385",="0.0481***",="0.0343***",="0.0265"
="",="(-2.27)",="(3.14)",="(-2.78)",="(1.30)",="(-0.93)",="(3.52)",="(3.75)",="(-0.24)",="(7.38)",="(8.20)",="(0.97)"

="- Female",="-0.117*",="-0.104**",="-0.139***",="-0.0626",="-0.00134",="-0.186***",="-0.0960***",="",="",="",=""
="",="(-2.22)",="(-3.27)",="(-3.36)",="(-1.09)",="(-0.04)",="(-6.19)",="(-3.68)",="",="",="",=""

="Mother education (HS excluded)",="",="",="",="",="",="",="",="",="",="",=""

="- Mother NoHS",="0.0809",="-0.0664",="0.0223",="-0.0178",="0.0529",="0.104*",="0.0325",="0.0890",="0.143",="-0.127",="0.151"
="",="(0.87)",="(-1.03)",="(0.31)",="(-0.18)",="(0.94)",="(1.97)",="(0.79)",="(0.28)",="(1.10)",="(-1.39)",="(0.24)"

="- Mother Some College",="0.130",="-0.0311",="-0.0428",="-0.141",="-0.00502",="0.00444",="0.0213",="0.0274",="-0.0110",="-0.0595",="-0.445"
="",="(1.75)",="(-0.74)",="(-0.77)",="(-1.81)",="(-0.11)",="(0.11)",="(0.59)",="(0.10)",="(-0.11)",="(-0.86)",="(-0.80)"

="- Mother BA",="0.0597",="0.0350",="-0.0556",="-0.152",="-0.0710",="-0.0557",="-0.0626",="-0.682*",="-0.0926",="-0.141",="-1.042"
="",="(0.74)",="(0.71)",="(-0.90)",="(-1.61)",="(-1.31)",="(-1.17)",="(-1.76)",="(-1.98)",="(-0.79)",="(-1.48)",="(-1.78)"

="- Mother Advanced",="0.229*",="0.0846",="0.0888",="-0.179",="0.0380",="-0.00992",="0.00463",="-0.496",="0.109",="-0.0981",="-0.589"
="",="(1.96)",="(1.37)",="(0.91)",="(-1.47)",="(0.55)",="(-0.13)",="(0.06)",="(-1.25)",="(0.47)",="(-0.99)",="(-0.85)"

="- Mother DK",="0.169",="-0.168*",="-0.00684",="0.146",="0.0242",="-0.0222",="-0.0485",="-0.171",="0.113",="-0.103",="0.162"
="",="(1.53)",="(-2.08)",="(-0.08)",="(1.29)",="(0.33)",="(-0.38)",="(-1.09)",="(-0.45)",="(0.65)",="(-0.92)",="(0.29)"

="FOI income (40-75K excluded)",="",="",="",="",="",="",="",="",="",="",=""

="- $0 to $20K",="0.0408",="-0.138*",="-0.0903",="0.139",="0.0149",="0.109*",="0.0696",="-0.249",="0.0648",="0.126",="-0.544"
="",="(0.46)",="(-2.19)",="(-1.35)",="(1.45)",="(0.24)",="(2.07)",="(1.64)",="(-0.76)",="(0.43)",="(1.52)",="(-1.00)"

="- $20K to $40K",="0.164",="-0.0665",="-0.0244",="-0.00679",="0.0330",="0.0958*",="-0.0000851",="0.554*",="0.195",="0.0841",="0.311"
="",="(1.95)",="(-1.52)",="(-0.44)",="(-0.08)",="(0.72)",="(2.25)",="(-0.00)",="(2.04)",="(1.88)",="(1.16)",="(0.46)"

="- $75K to 100K",="0.157",="0.0696",="0.162*",="0.195",="0.0396",="0.151**",="0.0642",="0.515",="0.249",="0.108",="1.145"
="",="(1.87)",="(1.30)",="(2.09)",="(1.86)",="(0.72)",="(2.71)",="(1.40)",="(1.39)",="(1.76)",="(0.95)",="(1.74)"

="- $100K to 150K",="-0.0118",="0.155**",="0.0784",="-0.218*",="-0.0430",="-0.00673",="-0.0142",="0.308",="0.157",="-0.0338",="0.719"
="",="(-0.12)",="(2.78)",="(0.85)",="(-2.03)",="(-0.52)",="(-0.15)",="(-0.36)",="(0.47)",="(1.15)",="(-0.26)",="(0.80)"

="- $150Kto 200K",="-0.147",="-0.0221",="0.0809",="-0.290*",="-0.0375",="-0.0695",="-0.0112",="0.922",="0.000991",="0.374*",="-1.109"
="",="(-1.33)",="(-0.20)",="(0.53)",="(-2.17)",="(-0.36)",="(-1.53)",="(-0.28)",="(1.77)",="(0.00)",="(2.32)",="(-1.33)"

="- Above $200K",="0.0661",="0.0905",="0.210",="-0.149",="-0.140",="0.0441",="-0.101*",="-0.455",="-0.118",="0.137",="2.257**"
="",="(0.42)",="(0.82)",="(1.40)",="(-0.74)",="(-1.27)",="(0.47)",="(-2.46)",="(-0.71)",="(-0.40)",="(0.89)",="(2.87)"

="- DK/Refuse",="-0.0171",="-0.0495",="0.00641",="0.151",="0.121*",="0.0641",="0.0241",="0.403",="-0.131",="0.0465",="1.605**"
="",="(-0.22)",="(-0.97)",="(0.10)",="(1.74)",="(2.50)",="(1.42)",="(0.58)",="(1.30)",="(-0.98)",="(0.64)",="(2.89)"

="Bullied",="0.0778",="-0.000248",="0.0461",="-0.0229",="0.109***",="0.0296",="-0.00858",="0.390*",="0.0220",="0.158**",="1.853***"
="",="(1.38)",="(-0.01)",="(1.08)",="(-0.39)",="(3.36)",="(0.96)",="(-0.35)",="(2.03)",="(0.27)",="(2.86)",="(4.72)"

="o.- Female",="",="",="",="",="",="",="",="0",="0",="0",="0"
="",="",="",="",="",="",="",="",="(.)",="(.)",="(.)",="(.)"

="Constant",="0.471**",="0.793***",="0.759***",="0.434**",="1.135***",="-0.0260",="-0.0490",="-1.614**",="-0.512*",="-0.0531",="-3.010**"
="",="(2.95)",="(8.49)",="(7.15)",="(2.61)",="(11.93)",="(-0.35)",="(-0.80)",="(-2.90)",="(-2.22)",="(-0.32)",="(-3.13)"

="lnalpha",="",="",="",="",="",="",="",="",="",="",=""
="Constant",="-16.08***",="-28.70",="-24.46",="-1.570***",="-30.07",="-50.59",="-26.36",="1.672***",="-1.033***",="-1.768***",="2.835***"
