="Draft of replication of Regnerus 2012 models"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="Educational Attainment",="Family-of-origin safety/security",="Family-of-origin negative impact",="Closeness to biological mother",="Closeness to biological father",="Self-reported physical health",="Self-reported happiness",="CES-D depression index",="Attachment scale (depend)",="Attachment scale (anxiety)",="Impulsivity scale",="Household income",="Current relationship quality index",="Current relationship is in trouble"

="Family form (IBF excluded)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="- Lesbian mother",="-0.561***",="-0.783***",="0.323**",="0.154",="-0.720",="-0.210",="-0.105",="0.239*",="0.255**",="0.140",="0.106",="-0.741",="-0.168",="0.307*"
="",="(-4.14)",="(-5.34)",="(3.09)",="(0.85)",="(-1.86)",="(-1.79)",="(-0.60)",="(2.32)",="(2.70)",="(1.00)",="(1.37)",="(-1.70)",="(-1.03)",="(2.55)"

="- Gay father",="-0.344",="-0.709***",="0.397**",="-0.369*",="0.805",="-0.0779",="-0.294",="0.206",="0.0816",="0.301",="0.0763",="-0.292",="-0.334*",="0.278"
="",="(-1.50)",="(-3.87)",="(3.06)",="(-2.04)",="(1.29)",="(-0.33)",="(-0.98)",="(1.66)",="(0.73)",="(1.66)",="(0.45)",="(-0.58)",="(-2.05)",="(1.89)"

="- Adopted by strangers",="0.589**",="0.00784",="-0.129",="-0.187",="",="0.0553",="0.0410",="-0.156",="0.147",="0.00967",="-0.247",="1.899**",="-0.201",="0.123"
="",="(3.28)",="(0.05)",="(-0.83)",="(-0.22)",="",="(0.30)",="(0.25)",="(-1.57)",="(1.32)",="(0.06)",="(-1.92)",="(2.88)",="(-0.66)",="(0.72)"

="- Divorced late",="-0.243",="-0.455**",="0.390***",="-0.129",="-0.444**",="-0.160",="-0.0557",="0.0867",="0.110",="0.247",="0.0619",="-0.555",="-0.141",="0.391*"
="",="(-1.88)",="(-3.29)",="(4.11)",="(-1.11)",="(-2.63)",="(-1.11)",="(-0.38)",="(0.98)",="(1.06)",="(1.77)",="(0.91)",="(-1.41)",="(-0.83)",="(2.35)"

="- Step parent",="-0.0465",="-0.0792",="0.0101",="0.0709",="0.430",="0.0586",="-0.108",="0.0619",="0.0639",="0.140",="0.0248",="-0.197",="-0.104",="0.0308"
="",="(-0.50)",="(-0.82)",="(0.13)",="(0.63)",="(1.33)",="(0.63)",="(-1.01)",="(1.07)",="(1.03)",="(1.46)",="(0.45)",="(-0.67)",="(-0.87)",="(0.33)"

="- Single Parent",="-0.365***",="-0.432***",="0.237***",="-0.0537",="-0.178",="-0.212**",="-0.0885",="-0.0397",="0.0773",="-0.100",="-0.0729",="-0.330",="-0.104",="0.215**"
="",="(-4.91)",="(-6.11)",="(3.63)",="(-0.60)",="(-1.00)",="(-2.82)",="(-1.10)",="(-0.82)",="(1.46)",="(-1.37)",="(-1.58)",="(-1.48)",="(-1.06)",="(2.91)"

="- Other",="-0.350***",="-0.176*",="0.171*",="0.249",="0.580***",="-0.194",="-0.293*",="0.0950",="0.0738",="0.123",="0.00286",="-1.247***",="-0.165",="0.114"
="",="(-3.56)",="(-2.03)",="(2.48)",="(1.82)",="(3.95)",="(-1.63)",="(-2.19)",="(1.32)",="(1.03)",="(1.06)",="(0.04)",="(-4.29)",="(-1.29)",="(1.09)"

="White",="-0.0568",="-0.00386",="-0.0888",="0.0153",="0.129",="0.0422",="0.217**",="-0.0231",="-0.0705",="-0.0530",="-0.0287",="0.00505",="0.203*",="-0.183**"
="",="(-0.89)",="(-0.07)",="(-1.72)",="(0.22)",="(1.32)",="(0.66)",="(3.02)",="(-0.54)",="(-1.61)",="(-0.79)",="(-0.74)",="(0.03)",="(2.47)",="(-2.74)"

="Age",="0.0590***",="-0.00462",="-0.00831*",="-0.00249",="0.0143*",="-0.00912",="0.00679",="-0.0114***",="-0.00170",="-0.0186***",="-0.0117***",="0.147***",="0.00785",="-0.0181***"
="",="(13.36)",="(-1.08)",="(-2.27)",="(-0.52)",="(2.05)",="(-1.87)",="(1.32)",="(-3.78)",="(-0.55)",="(-4.00)",="(-4.06)",="(10.05)",="(1.29)",="(-3.54)"

="- Female",="-0.0332",="-0.0885",="0.0779",="-0.0229",="0.178*",="-0.157**",="-0.0398",="0.0914*",="0.154***",="0.144*",="-0.158***",="-0.577***",="-0.0864",="0.0765"
="",="(-0.54)",="(-1.60)",="(1.72)",="(-0.38)",="(2.15)",="(-2.73)",="(-0.61)",="(2.41)",="(3.87)",="(2.46)",="(-4.48)",="(-3.37)",="(-1.14)",="(1.29)"

="Mother education (HS excluded)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="- Mother NoHS",="-0.270**",="-0.125",="-0.115",="-0.128",="0.000269",="-0.158",="-0.148",="0.112",="-0.0188",="-0.00213",="0.00834",="-0.354",="-0.190",="0.100"
="",="(-2.63)",="(-1.24)",="(-1.41)",="(-1.04)",="(0.00)",="(-1.50)",="(-1.25)",="(1.64)",="(-0.29)",="(-0.02)",="(0.14)",="(-1.19)",="(-1.45)",="(0.91)"

="- Mother Some College",="0.366***",="0.166*",="-0.0353",="0.109",="0.0712",="0.112",="-0.0273",="-0.0280",="-0.0763",="-0.115",="0.0297",="0.327",="-0.0975",="0.0315"
="",="(4.43)",="(2.21)",="(-0.57)",="(1.42)",="(0.66)",="(1.51)",="(-0.31)",="(-0.56)",="(-1.39)",="(-1.55)",="(0.62)",="(1.39)",="(-1.09)",="(0.43)"

="- Mother BA",="0.575***",="0.297***",="-0.0776",="0.0804",="0.185",="0.0984",="0.00379",="-0.0695",="-0.0253",="-0.0671",="-0.0389",="0.614*",="-0.0624",="-0.135"
="",="(6.32)",="(3.55)",="(-1.14)",="(0.96)",="(1.44)",="(1.09)",="(0.04)",="(-1.16)",="(-0.40)",="(-0.78)",="(-0.77)",="(2.24)",="(-0.53)",="(-1.58)"

="- Mother Advanced",="0.785***",="0.321**",="-0.100",="0.0909",="0.333*",="0.0635",="0.0750",="-0.0243",="-0.119",="0.00304",="-0.104",="1.019**",="0.00476",="-0.0587"
="",="(5.69)",="(2.99)",="(-1.29)",="(0.78)",="(2.42)",="(0.48)",="(0.59)",="(-0.31)",="(-1.30)",="(0.03)",="(-1.32)",="(3.05)",="(0.03)",="(-0.44)"

="- Mother DK",="-0.297*",="-0.160",="0.156",="0.483*",="0.834",="-0.151",="-0.120",="0.206**",="-0.0344",="0.169",="0.216*",="-1.704***",="-0.136",="-0.00774"
="",="(-2.43)",="(-1.39)",="(1.52)",="(2.53)",="(1.82)",="(-1.02)",="(-0.86)",="(2.80)",="(-0.35)",="(1.13)",="(2.15)",="(-3.87)",="(-0.81)",="(-0.06)"

="FOI income (40-75K excluded)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="- $0 to $20K",="-0.400***",="-0.321***",="0.184*",="-0.480**",="-0.0746",="-0.235*",="-0.180",="0.0890",="0.101",="0.140",="-0.0640",="-3.084***",="-0.120",="0.0846"
="",="(-3.90)",="(-3.32)",="(2.22)",="(-3.24)",="(-0.41)",="(-2.25)",="(-1.44)",="(1.21)",="(1.33)",="(1.25)",="(-0.87)",="(-9.48)",="(-0.86)",="(0.75)"

="- $20K to $40K",="-0.189*",="-0.160*",="0.225***",="-0.206*",="-0.150",="-0.110",="0.0375",="0.0138",="0.104",="0.0900",="0.0215",="-1.023***",="-0.0321",="0.0163"
="",="(-2.18)",="(-2.08)",="(3.52)",="(-2.46)",="(-1.25)",="(-1.43)",="(0.44)",="(0.27)",="(1.76)",="(1.09)",="(0.41)",="(-4.42)",="(-0.31)",="(0.20)"

="- $75K to 100K",="0.0257",="-0.191",="0.0952",="-0.0241",="-0.0663",="-0.0930",="0.150",="-0.112",="-0.0685",="-0.0823",="0.143*",="0.309",="0.0325",="0.00559"
="",="(0.21)",="(-1.87)",="(1.22)",="(-0.27)",="(-0.50)",="(-0.88)",="(1.45)",="(-1.79)",="(-1.01)",="(-0.80)",="(2.13)",="(1.07)",="(0.29)",="(0.06)"

="- $100K to 150K",="0.132",="0.0787",="-0.106",="0.294***",="0.195",="0.251*",="0.176",="-0.213**",="-0.147",="-0.202",="-0.0688",="1.037***",="0.219",="-0.0418"
="",="(0.98)",="(0.86)",="(-1.02)",="(3.70)",="(1.23)",="(2.08)",="(1.23)",="(-2.72)",="(-1.70)",="(-1.54)",="(-0.95)",="(3.50)",="(1.57)",="(-0.33)"

="- $150Kto 200K",="0.388**",="0.0546",="-0.0439",="0.294*",="0.273",="0.373*",="0.374*",="-0.348***",="-0.195",="-0.418*",="0.159",="1.420*",="0.137",="0.00963"
="",="(2.70)",="(0.28)",="(-0.26)",="(2.48)",="(1.42)",="(2.20)",="(2.35)",="(-3.94)",="(-1.14)",="(-2.37)",="(1.00)",="(2.30)",="(0.73)",="(0.06)"

="- Above $200K",="0.353",="-0.294",="0.319",="-0.254",="-0.345",="0.0672",="-0.0842",="0.182",="0.0304",="-0.0105",="0.0317",="1.541*",="0.299",="-0.123"
="",="(1.72)",="(-0.96)",="(1.30)",="(-1.04)",="(-1.24)",="(0.27)",="(-0.33)",="(1.00)",="(0.16)",="(-0.06)",="(0.23)",="(2.38)",="(1.14)",="(-0.75)"

="- DK/Refuse",="-0.356***",="-0.250**",="0.197**",="-0.189*",="-0.0351",="-0.280**",="-0.198",="0.113",="0.0298",="0.0964",="-0.0398",="-1.619***",="-0.000748",="-0.0415"
="",="(-4.25)",="(-3.04)",="(3.09)",="(-2.03)",="(-0.27)",="(-3.27)",="(-1.94)",="(1.94)",="(0.55)",="(1.13)",="(-0.73)",="(-5.36)",="(-0.01)",="(-0.44)"

="Bullied",="0.0205",="-0.363***",="0.223***",="-0.0980",="-0.225**",="-0.230***",="-0.289***",="0.314***",="0.205***",="0.328***",="0.0547",="-0.264",="-0.157*",="0.193**"
